addressLine1,city,state,zipCode,formattedAddress,squareFootage,yearBuilt,bathrooms,bedrooms,lotSize,propertyType,longitude,latitude
418 Boxelder Dr,Stafford,VA,22554,"418 Boxelder Dr, Apt 102, Stafford, VA 22554",1720.0,2019.0,3.0,3.0,0.0,Condo,-77.434588,38.445569
2280 Valley Ave,Winchester,VA,22601,"2280 Valley Ave, Winchester, VA 22601",0.0,0.0,0.0,0.0,0.0,Unknown,-78.184273,39.159844
211 N Citrus Ave,Inverness,FL,34450,"211 N Citrus Ave, Inverness, FL 34450",4050.0,1980.0,0.0,0.0,21161.0,Multi Family,-82.335725,28.839334
1304 W 3rd St,Vinton,IA,52349,"1304 W 3rd St, Vinton, IA 52349",922.0,1925.0,1.0,2.0,22320.0,Single Family,-92.039252,42.168499
4701 San Leandro St,Oakland,CA,94601,"4701 San Leandro St, Apt 209J, Oakland, CA 94601",0.0,0.0,0.0,0.0,0.0,Unknown,-122.213887,37.7678
7905 W Thunderbird Rd,Peoria,AZ,85381,"7905 W Thunderbird Rd, Unit 287, Peoria, AZ 85381",784.0,0.0,1.0,2.0,0.0,Single Family,-112.229526,33.609271
101 Johnston St,Savannah,GA,31405,"101 Johnston St, Savannah, GA 31405",3582.0,1968.0,3.0,4.0,18286.0,Single Family,-81.110074,32.021833
1620 N 26th Ave,Hollywood,FL,33020,"1620 N 26th Ave, Hollywood, FL 33020",0.0,0.0,0.0,0.0,0.0,Unknown,-80.159333,26.025696
14564 Woodgate Manor Cir,Centreville,VA,20120,"14564 Woodgate Manor Cir, Centreville, VA 20120",2047.0,1992.0,3.5,4.0,1400.0,Townhouse,-77.449641,38.841559
618 Wainsford Dr,Hoffman Estates,IL,60169,"618 Wainsford Dr, Hoffman Estates, IL 60169",2272.0,1987.0,2.5,3.0,9429.0,Single Family,-88.111105,42.038339
6387 Shea Tree Cir,Mechanicsville,VA,23111,"6387 Shea Tree Cir, Mechanicsville, VA 23111",1300.0,1987.0,2.0,3.0,17380.0,Single Family,-77.328229,37.626366
102 Colony Dr,North Myrtle Beach,SC,29582,"102 Colony Dr, North Myrtle Beach, SC 29582",1454.0,1980.0,2.0,3.0,3920.0,Condo,-78.664632,33.834341
21 Crescent Pl,Sheridan,WY,82801,"21 Crescent Pl, Sheridan, WY 82801",2035.0,1975.0,3.0,3.0,76883.0,Single Family,-106.974686,44.796699
110 E 60th St,New York City,NY,10022,"110 E 60th St, Unit 700, New York City, NY 10022",2080.0,0.0,0.0,0.0,0.0,Condo,-73.968771,40.763182
5707 Se 48th St,Oklahoma City,OK,73135,"5707 Se 48th St, Apt 704, Oklahoma City, OK 73135",1085.0,0.0,2.0,3.0,0.0,Apartment,-97.421059,35.416607
1031 Nottinghill Ct,Indianapolis,IN,46234,"1031 Nottinghill Ct, Apt 2C, Indianapolis, IN 46234",0.0,0.0,0.0,0.0,0.0,Unknown,-86.30973,39.769492
1435 Mckinley Ave,San Antonio,TX,78210,"1435 Mckinley Ave, San Antonio, TX 78210",1520.0,1930.0,2.0,3.0,6490.0,Single Family,-98.461882,29.392892
254 Hagan Pl,Secaucus,NJ,7094,"254 Hagan Pl, Secaucus, NJ 07094",0.0,0.0,3.5,4.0,0.0,Single Family,-74.059525,40.798901
160018 Arch St,Philadelphia,PA,19103,"160018 Arch St, Unit 1211, Philadelphia, PA 19103",799.0,0.0,1.0,1.0,0.0,Condo,-75.16699219,39.9545784
311 Los Altos Way,Altamonte Springs,FL,32714,"311 Los Altos Way, # 436L34, Altamonte Springs, FL 32714",1058.0,0.0,2.0,2.0,0.0,Apartment,-81.39983,28.667196
803 Jefferson St,Eufaula,AL,36027,"803 Jefferson St, Eufaula, AL 36027",1639.0,1952.0,1.0,2.0,6250.0,Duplex-Triplex,-85.157399,31.886714
903 Peachtree St NE,Atlanta,GA,30309,"903 Peachtree St NE, Unit 1322, Atlanta, GA 30309",521.0,0.0,1.0,1.0,0.0,Apartment,-84.383835,33.779205
37178 Dondero Way,Fremont,CA,94536,"37178 Dondero Way, Fremont, CA 94536",747.0,1952.0,1.0,2.0,5429.0,Single Family,-122.017728,37.548298
422 Shuart Ave,Syracuse,NY,13203,"422 Shuart Ave, Syracuse, NY 13203",1440.0,1890.0,1.0,3.0,3354.0,Single Family,-76.123084,43.062587
5208 Dartmoor Ridge Trl,Houston,TX,77066,"5208 Dartmoor Ridge Trl, Houston, TX 77066",2246.0,2012.0,2.5,3.0,3080.0,Single Family,-95.496773,29.941081
401 Leighann Rd,Henderson,NV,89015,"401 Leighann Rd, Henderson, NV 89015",1458.0,1992.0,2.0,3.0,7841.0,Single Family,-114.999055,36.02689
1138 S Truro Ave,Inglewood,CA,90301,"1138 S Truro Ave, Inglewood, CA 90301",1387.0,1938.0,2.0,3.0,5887.0,Single Family,-118.357728,33.947655
1217 Sussex St,Boynton Beach,FL,33436,"1217 Sussex St, Boynton Beach, FL 33436",1438.0,1991.0,2.0,3.0,5040.0,Single Family,-80.104485,26.563063
300 Pitney Rd,Absecon,NJ,8201,"300 Pitney Rd, Absecon, NJ 08201",1446.0,1953.0,0.0,0.0,12750.0,Single Family,-74.499459,39.429333
947 N 35th St,Milwaukee,WI,53208,"947 N 35th St, Milwaukee, WI 53208",1315.0,1923.0,1.0,4.0,7318.0,Single Family,-87.958232,43.042759
3702 Bentley Pl,Waxhaw,NC,28173,"3702 Bentley Pl, Waxhaw, NC 28173",1466.0,1997.0,2.0,3.0,10890.0,Single Family,-80.756587,34.940161
4586 Trilogy Park Trl,Hoschton,GA,30548,"4586 Trilogy Park Trl, Hoschton, GA 30548",4249.0,2007.0,2.0,5.0,15682.0,Single Family,-83.852888,34.079676
1044 Camino Ln,Austin,TX,78752,"1044 Camino Ln, Costa Apt 2032, Austin, TX 78752",0.0,0.0,0.0,0.0,0.0,Unknown,-97.699434,30.324771
1835 S Sherman St,Denver,CO,80210,"1835 S Sherman St, Denver, CO 80210",1666.0,1890.0,2.5,3.0,6250.0,Single Family,-104.985508,39.683271
10206 Paganica Pl,Hutchinson,KS,67502,"10206 Paganica Pl, Hutchinson, KS 67502",1784.0,0.0,2.5,3.0,0.0,Single Family,-97.945405,38.166394
7034 2nd St N,Saint Petersburg,FL,33702,"7034 2nd St N, Saint Petersburg, FL 33702",1018.0,1987.0,2.0,0.0,6390.0,Single Family,-82.636783,27.836462
7267 Winchester Rd,Memphis,TN,38125,"7267 Winchester Rd, Memphis, TN 38125",0.0,0.0,0.0,0.0,0.0,Unknown,-89.821455,35.048564
2417 Elaine St,Lake Charles,LA,70601,"2417 Elaine St, Lake Charles, LA 70601",0.0,0.0,0.0,0.0,7405.0,Land,-93.182975,30.230556
321 W 1st St,Eloy,AZ,85131,"321 W 1st St, Eloy, AZ 85131",1225.0,2006.0,2.0,3.0,7405.0,Single Family,-111.560892,32.749238
1775 N Mountain View Ct,Washington,UT,84780,"1775 N Mountain View Ct, Washington, UT 84780",2757.0,2015.0,3.0,4.0,14375.0,Single Family,-113.529723,37.154714
971 Rye Dr,La Plata,MD,20646,"971 Rye Dr, La Plata, MD 20646",2380.0,0.0,3.5,3.0,0.0,Condo,-76.950064,38.541579
188 Perkins Ave,Waterbury,CT,6704,"188 Perkins Ave, Unit 9, Waterbury, CT 06704",994.0,1987.0,1.5,2.0,0.0,Condo,-73.034693,41.583865
1372 Slate Ct,Cleveland,OH,44118,"1372 Slate Ct, Cleveland, OH 44118",2124.0,2013.0,2.5,3.0,3363.0,Single Family,-81.554107,41.522501
4730 59th St,Woodside,NY,11377,"4730 59th St, Apt 11E, Woodside, NY 11377",0.0,0.0,0.0,0.0,0.0,Unknown,-73.907084,40.739539
637 Main St,Woodland,PA,16881,"637 Main St, Woodland, PA 16881",1500.0,1890.0,1.0,4.0,20037.0,Single Family,-78.353444,40.99667
18384 Nw County Rd,Frost,TX,76641,"18384 Nw County Rd, 3316, Frost, TX 76641",476.0,1982.0,0.0,0.0,12894.0,Single Family,-96.752217,31.991046
50 Stroud Dr SE,Mableton,GA,30126,"50 Stroud Dr SE, Mableton, GA 30126",1594.0,2014.0,2.5,3.0,18639.0,Single Family,-84.55641,33.793564
19 Bronsdon St,Brighton,MA,2135,"19 Bronsdon St, Apt E, Brighton, MA 02135",0.0,0.0,0.0,0.0,0.0,Unknown,-71.143581,42.359977
510 Bankhead Hwy,Carrollton,GA,30117,"510 Bankhead Hwy, Carrollton, GA 30117",0.0,0.0,0.0,0.0,0.0,Unknown,-85.059758,33.587112
1019 Copeland St,Jacksonville,FL,32204,"1019 Copeland St, Jacksonville, FL 32204",0.0,0.0,0.0,0.0,0.0,Unknown,-81.685194,30.314442
701 Winter Ct,Nashville,TN,37211,"701 Winter Ct, Nashville, TN 37211",0.0,0.0,0.0,0.0,0.0,Unknown,-86.724074,36.019336
615 Penhurst Pl,Hendersonville,TN,37075,"615 Penhurst Pl, Hendersonville, TN 37075",2498.0,2018.0,0.0,4.0,0.0,Single Family,-86.592409,36.359852
3625 Kevin Ryan Dr,Baton Rouge,LA,70816,"3625 Kevin Ryan Dr, Baton Rouge, LA 70816",1355.0,1993.0,0.0,0.0,0.0,Single Family,-91.016858,30.419869
10514 Quimby Dr,Port Richey,FL,34668,"10514 Quimby Dr, Port Richey, FL 34668",1758.0,1988.0,2.0,2.0,6513.0,Single Family,-82.667277,28.310509
602 Pleasants Dr,Fredericksburg,VA,22407,"602 Pleasants Dr, Fredericksburg, VA 22407",1000.0,1980.0,1.5,3.0,10875.0,Single Family,-77.518563,38.22809
1120 S Wright Blvd,Liberty Lake,WA,99019,"1120 S Wright Blvd, Liberty Lake, WA 99019",1881.0,0.0,2.0,3.0,0.0,Single Family,-117.093787,47.645955
Seminole Dr,Mountain City,TN,37683,"Seminole Dr, Lot 32, Mountain City, TN 37683",0.0,0.0,0.0,0.0,266587.0,Land,-81.771995,36.469116
621 E 94th St,Odessa,TX,79765,"621 E 94th St, Odessa, TX 79765",1380.0,2018.0,0.0,0.0,6761.0,Single Family,-102.395909,31.949365
1624 S Bardo St,Visalia,CA,93277,"1624 S Bardo St, Visalia, CA 93277",1195.0,1956.0,1.0,0.0,7028.0,Single Family,-119.293279,36.316034
1490 45th Ave,San Francisco,CA,94122,"1490 45th Ave, San Francisco, CA 94122",1304.0,1937.0,1.0,2.0,1746.0,Single Family,-122.504495,37.758839
1061H Blanton Mill Rd,Griffin,GA,30224,"1061H Blanton Mill Rd, Griffin, GA 30224",896.0,1982.0,2.0,0.0,217800.0,Manufactured,-84.413898,33.224321
245 E 121st St,Chicago,IL,60628,"245 E 121st St, Apt 2, Chicago, IL 60628",0.0,0.0,0.0,0.0,0.0,Unknown,-87.615993,41.674465
1673 E Bradstock Way,San Tan Valley,AZ,85140,"1673 E Bradstock Way, San Tan Valley, AZ 85140",1401.0,2005.0,0.0,0.0,4950.0,Single Family,-111.547751,33.237107
5521 Castleview Ln,Garland,TX,75044,"5521 Castleview Ln, Garland, TX 75044",2262.0,1978.0,2.5,4.0,12880.0,Single Family,-96.676526,32.966363
5497 Northwest Dr N,Bellingham,WA,98226,"5497 Northwest Dr N, Bellingham, WA 98226",947.0,0.0,1.0,2.0,0.0,Single Family,-122.54156,48.840471
30 N Michigan Ave,Chicago,IL,60602,"30 N Michigan Ave, Ste 1817, Chicago, IL 60602",0.0,0.0,0.0,0.0,0.0,Unknown,-87.625005,41.882996
1601 Chester Mill Rd,Silver Spring,MD,20906,"1601 Chester Mill Rd, Silver Spring, MD 20906",1934.0,1972.0,3.0,0.0,15242.0,Single Family,-77.036611,39.118098
6415 Bull Valley Rd,Mchenry,IL,60050,"6415 Bull Valley Rd, Mchenry, IL 60050",0.0,0.0,0.0,0.0,0.0,Land,-88.323641,42.316179
737 E 24th St,Los Angeles,CA,90011,"737 E 24th St, Apt 12, Los Angeles, CA 90011",0.0,0.0,0.0,0.0,0.0,Unknown,-118.259578,34.022968
1024 Wyoming Ave,Fort Lauderdale,FL,33312,"1024 Wyoming Ave, Fort Lauderdale, FL 33312",1534.0,1956.0,2.0,3.0,7499.0,Single Family,-80.197349,26.1096
6401 Skycrest Dr,Austin,TX,78745,"6401 Skycrest Dr, Austin, TX 78745",2097.0,1978.0,1.0,4.0,7832.0,Single Family,-97.781011,30.197264
63 Catherine St,Trumbull,CT,6611,"63 Catherine St, Trumbull, CT 06611",2682.0,0.0,2.0,3.0,0.0,Single Family,-73.224038,41.259363
709 10th St S,Northwood,IA,50459,"709 10th St S, Northwood, IA 50459",712.0,1920.0,1.0,2.0,14190.0,Single Family,-93.218654,43.437961
1206 York Rd,Lutherville Timonium,MD,21093,"1206 York Rd, Ste 202, Lutherville Timonium, MD 21093",0.0,0.0,0.0,0.0,0.0,Unknown,-76.614929,39.416237
11059 Landsbury Cir,Houston,TX,77099,"11059 Landsbury Cir, Houston, TX 77099",1710.0,1983.0,2.0,3.0,5602.0,Single Family,-95.574293,29.660084
5530 Arnold Palmer Dr,Orlando,FL,32811,"5530 Arnold Palmer Dr, Apt 931, Orlando, FL 32811",0.0,0.0,0.0,0.0,0.0,Unknown,-81.455854,28.51056
4745 Nw 32nd Ave,Miami,FL,33142,"4745 Nw 32nd Ave, Miami, FL 33142",3000.0,1956.0,4.0,7.0,6000.0,Single Family,-80.248433,25.817594
2637 Ne M L King Blvd,Portland,OR,97212,"2637 Ne M L King Blvd, Ste B, Portland, OR 97212",0.0,0.0,0.0,0.0,0.0,Unknown,-122.661751,45.541491
1521 N Hastings St,Orlando,FL,32808,"1521 N Hastings St, Orlando, FL 32808",1101.0,1957.0,1.0,3.0,10560.0,Single Family,-81.459135,28.560965
15 Chippewa Rd,Toms River,NJ,8753,"15 Chippewa Rd, Toms River, NJ 08753",1987.0,1976.0,2.0,0.0,15987.0,Single Family,-74.169227,39.983332
44422 Sunset Maple Dr,Ashburn,VA,20147,"44422 Sunset Maple Dr, Ashburn, VA 20147",2447.0,2007.0,3.0,0.0,4356.0,Condo,-77.462957,39.047114
11009 W Lincoln St,Avondale,AZ,85323,"11009 W Lincoln St, Avondale, AZ 85323",2830.0,2024.0,3.5,4.0,7658.0,Single Family,-112.296009,33.440608
9200 Ball Rd,Cattaraugus,NY,14719,"9200 Ball Rd, Cattaraugus, NY 14719",2256.0,1987.0,2.5,4.0,134165.0,Single Family,-78.837709,42.409998
385 Hawthorn Hall,East Stroudsburg,PA,18301,"385 Hawthorn Hall, East Stroudsburg, PA 18301",0.0,0.0,0.0,0.0,0.0,Unknown,-75.198445,41.003755
1401 Sw 17th St,Boca Raton,FL,33486,"1401 Sw 17th St, Boca Raton, FL 33486",2285.0,1980.0,2.0,4.0,9814.0,Single Family,-80.114077,26.333184
815 1st Ave S,Estherville,IA,51334,"815 1st Ave S, Estherville, IA 51334",0.0,0.0,0.0,0.0,8712.0,Single Family,-94.833272,43.401115
4473 Westview Dr,Copley,OH,44321,"4473 Westview Dr, Copley, OH 44321",3844.0,1993.0,4.0,4.0,22455.0,Single Family,-81.671311,41.124544
4103 Flowerton Rd,Baltimore,MD,21229,"4103 Flowerton Rd, Baltimore, MD 21229",840.0,1960.0,1.0,0.0,1470.0,Condo,-76.684582,39.298316
1052 S Fresno St,Chandler,AZ,85286,"1052 S Fresno St, Chandler, AZ 85286",1534.0,2007.0,2.0,3.0,4500.0,Single Family,-111.834406,33.290756
1548 E 4500 S,Salt Lake City,UT,84117,"1548 E 4500 S, Ste 101, Salt Lake City, UT 84117",0.0,0.0,0.0,0.0,0.0,Unknown,-111.845678,40.674001
17950 N 97th Pl,Scottsdale,AZ,85255,"17950 N 97th Pl, Scottsdale, AZ 85255",4256.0,2013.0,4.0,0.0,13401.0,Single Family,-111.871846,33.648841
1037 Fair Meadow Rd,Memphis,TN,38117,"1037 Fair Meadow Rd, Memphis, TN 38117",3754.0,1953.0,3.0,5.0,22477.0,Single Family,-89.912281,35.103338
287 Tara Woods Dr,Riverdale,GA,30274,"287 Tara Woods Dr, Riverdale, GA 30274",1038.0,2005.0,2.0,2.0,0.0,Single Family,-84.399229,33.566793
PO Box 20190,Houston,TX,77225,"PO Box 20190, Houston, TX 77225",0.0,0.0,0.0,0.0,0.0,Unknown,-95.4179,29.6928
1921 E Oak Bend Dr,Draper,UT,84020,"1921 E Oak Bend Dr, Draper, UT 84020",1835.0,2000.0,2.5,4.0,5663.0,Single Family,-111.838188,40.477226
6046 12th St NW,Canton,OH,44708,"6046 12th St NW, Canton, OH 44708",1040.0,1965.0,2.0,3.0,18469.0,Single Family,-81.465506,40.812003
22 Meadow Vista Ct,Saint Peters,MO,63376,"22 Meadow Vista Ct, Saint Peters, MO 63376",2785.0,2014.0,3.0,4.0,21344.0,Single Family,-90.652893,38.77199
115 Sylvan Lake Blvd,Bayville,NJ,8721,"115 Sylvan Lake Blvd, Bayville, NJ 08721",1726.0,1995.0,2.0,2.0,6000.0,Single Family,-74.167473,39.911111
1339 Wilson Ave,Upland,CA,91786,"1339 Wilson Ave, Upland, CA 91786",1827.0,1977.0,2.0,4.0,8239.0,Single Family,-117.677031,34.112032
4816 Friendly St,Pace,FL,32571,"4816 Friendly St, Pace, FL 32571",1665.0,1971.0,2.0,4.0,14810.0,Single Family,-87.121484,30.605816
2011 Brandt Rd,Vancouver,WA,98661,"2011 Brandt Rd, Apt 75, Vancouver, WA 98661",0.0,0.0,0.0,0.0,0.0,Unknown,-122.629408,45.637294
921 S Val Vista Dr,Mesa,AZ,85204,"921 S Val Vista Dr, Unit 53, Mesa, AZ 85204",2040.0,1988.0,2.0,5.0,7907.0,Single Family,-111.751247,33.398764
423 Northvalley Dr,San Antonio,TX,78216,"423 Northvalley Dr, San Antonio, TX 78216",1432.0,1964.0,1.5,3.0,16335.0,Single Family,-98.500228,29.531635
4318 W Jackson Blvd,Chicago,IL,60624,"4318 W Jackson Blvd, Chicago, IL 60624",2478.0,1900.0,2.0,4.0,3050.0,Apartment,-87.733691,41.87724
1715 S Kansas Pl,Nampa,ID,83686,"1715 S Kansas Pl, Nampa, ID 83686",1958.0,2017.0,3.0,4.0,10019.0,Single Family,-116.590689,43.552002
220 Margaret St,Neptune Beach,FL,32266,"220 Margaret St, Neptune Beach, FL 32266",1592.0,1938.0,2.0,4.0,6117.0,Duplex-Triplex,-81.394913,30.30936
2412 S Verbena,Mesa,AZ,85209,"2412 S Verbena, Mesa, AZ 85209",1405.0,1995.0,2.0,0.0,7640.0,Single Family,-111.655129,33.371798
1513 Oregon St,Lake Charles,LA,70607,"1513 Oregon St, Lake Charles, LA 70607",0.0,0.0,0.0,0.0,0.0,Single Family,-93.19875,30.193468
306 W Main St,Hallsville,TX,75650,"306 W Main St, Hallsville, TX 75650",0.0,0.0,0.0,0.0,0.0,Unknown,-94.578608,32.504763
2716 Fenway Ave,Chesapeake,VA,23323,"2716 Fenway Ave, Chesapeake, VA 23323",1014.0,1963.0,1.0,0.0,10193.0,Single Family,-76.34131,36.760659
1 Columbus Pl,New York,NY,10019,"1 Columbus Pl, Apt N9A, New York, NY 10019",0.0,0.0,0.0,0.0,0.0,Unknown,-73.985463,40.769346
5500 Sw 109th Street Rd,Ocala,FL,34476,"5500 Sw 109th Street Rd, Ocala, FL 34476",1335.0,1995.0,2.0,3.0,25700.0,Single Family,-82.211654,29.064197
1813 Edinburgh St,Metairie,LA,70001,"1813 Edinburgh St, Metairie, LA 70001",0.0,0.0,0.0,0.0,4275.0,Single Family,-90.143424,29.979505
5895 Kingsmont Dr,Fairfield,OH,45014,"5895 Kingsmont Dr, Fairfield, OH 45014",1088.0,1979.0,2.5,3.0,11761.0,Single Family,-84.533884,39.317403
4882 Wilkie Way NW,Acworth,GA,30102,"4882 Wilkie Way NW, Acworth, GA 30102",1792.0,1995.0,2.5,3.0,7561.0,Single Family,-84.605257,34.071661
345 Vernier Ave,Lafayette,CO,80026,"345 Vernier Ave, Lafayette, CO 80026",1962.0,1995.0,3.0,4.0,8102.0,Single Family,-105.107039,39.996515
PO Box 666,Vernon,TX,76385,"PO Box 666, Vernon, TX 76385",0.0,0.0,0.0,0.0,0.0,Unknown,-99.2834,34.1544
3900 Nebel St,Stevens Point,WI,54481,"3900 Nebel St, Stevens Point, WI 54481",2720.0,0.0,3.0,4.0,0.0,Single Family,-89.545927,44.503161
1321 Canterlane Dr,Houston,TX,77047,"1321 Canterlane Dr, Houston, TX 77047",1814.0,1955.0,2.0,3.0,11208.0,Single Family,-95.401733,29.619911
930 Willow Brook Ave,Denham Springs,LA,70726,"930 Willow Brook Ave, Denham Springs, LA 70726",1477.0,1979.0,2.0,4.0,15682.0,Single Family,-90.939542,30.495851
101 Halsey Ave,Reading,PA,19609,"101 Halsey Ave, Reading, PA 19609",1402.0,1956.0,1.0,3.0,11326.0,Single Family,-76.004313,40.319254
3356 Bowman St,Philadelphia,PA,19129,"3356 Bowman St, Philadelphia, PA 19129",1120.0,1945.0,1.0,3.0,1688.0,Single Family,-75.185959,40.012812
2601 Sunset Blvd,Minneapolis,MN,55416,"2601 Sunset Blvd, Apt B2, Minneapolis, MN 55416",0.0,0.0,0.0,0.0,0.0,Unknown,-93.320263,44.952871
1594 Sunview St,Muskegon,MI,49445,"1594 Sunview St, Muskegon, MI 49445",1236.0,1950.0,1.0,3.0,43560.0,Single Family,-86.27644599999999,43.281883
400 W St Elmo Rd,Austin,TX,78745,"400 W St Elmo Rd, Unit 8158, Austin, TX 78745",600.0,0.0,1.0,1.0,0.0,Apartment,-97.770152,30.220968
1319 Elmwood Ave SW,North Canton,OH,44720,"1319 Elmwood Ave SW, North Canton, OH 44720",1196.0,1974.0,2.5,3.0,7449.0,Single Family,-81.402493,40.863235
